Station Name,Latitude,Longitude
A00289,46.91908046,-121.4754336
A00290,46.91890483,-121.4623047
A00291,46.91872771,-121.4491759
A00292,46.91854907,-121.4360472
A00293,46.91836894,-121.4229186
A00294,46.91818729,-121.4097902
A00295,46.91800414,-121.3966619
A00296,46.91781949,-121.3835337
A00297,46.91763333,-121.3704056
A00298,46.91744567,-121.3572777
A00299,46.9172565,-121.3441499
A00300,46.91706583,-121.3310223
A00301,46.91687366,-121.3178948
A00302,46.91667997,-121.3047674
A00303,46.91648479,-121.2916401
A00304,46.9162881,-121.278513
A00305,46.9160899,-121.265386
A00306,46.91589021,-121.2522592
A00307,46.915689,-121.2391325
A00308,46.91548629,-121.226006
A00309,46.91528208,-121.2128796
A00310,46.91507636,-121.1997533
A00311,46.91486914,-121.1866272
A00312,46.91466042,-121.1735012
A00313,46.93804011,-123.2091616
A00314,46.93806335,-123.1960234
A00315,46.93808509,-123.1828851
A00316,46.93810533,-123.1697469
A00317,46.93812405,-123.1566086
A00318,46.93814127,-123.1434704
A00319,46.93815698,-123.1303321
A00320,46.93817118,-123.1171938
A00321,46.93818387,-123.1040555
A00322,46.93819506,-123.0909172
A00323,46.93820474,-123.0777789
A00324,46.93821291,-123.0646406
A00325,46.93821957,-123.0515023
A00326,46.93822473,-123.0383639
A00327,46.93822838,-123.0252256
A00328,46.93823052,-123.0120873
A00329,46.93823115,-122.9989489
A00330,46.93823028,-122.9858106
A00331,46.9382279,-122.9726723
A00332,46.93822401,-122.9595339
A00333,46.93821861,-122.9463956
A00334,46.9382117,-122.9332573
A00335,46.93820329,-122.920119
A00336,46.93819337,-122.9069807
A00337,46.93818194,-122.8938424
A00338,46.93816901,-122.8807041
A00339,46.93815457,-122.8675658
A00340,46.93813861,-122.8544275
A00341,46.93812116,-122.8412892
A00342,46.93810219,-122.828151
A00343,46.93808172,-122.8150127
A00344,46.93805974,-122.8018745
A00345,46.93803625,-122.7887363
A00346,46.93801125,-122.7755981
A00347,46.93798475,-122.76246
A00348,46.93795674,-122.7493218
A00349,46.93792722,-122.7361837
A00350,46.93789619,-122.7230456
A00351,46.93786366,-122.7099075
A00352,46.93782961,-122.6967694
A00353,46.93779406,-122.6836314
A00354,46.93775701,-122.6704934
A00355,46.93771844,-122.6573554
A00356,46.93767837,-122.6442174
A00357,46.93763679,-122.6310795
A00358,46.9375937,-122.6179416
A00359,46.93754911,-122.6048037
A00360,46.93750301,-122.5916659
A00361,46.9374554,-122.5785281
A00362,46.93740628,-122.5653903
A00363,46.93735566,-122.5522526
A00364,46.93730353,-122.5391149
A00365,46.93724989,-122.5259772
A00366,46.93719474,-122.5128396
A00367,46.93713809,-122.499702
A00368,46.93707992,-122.4865644
A00369,46.93702026,-122.4734269
A00370,46.93695908,-122.4602895
A00371,46.9368964,-122.4471521
A00372,46.9368322,-122.4340147
A00373,46.93676651,-122.4208774
A00374,46.9366993,-122.4077401
A00375,46.93663059,-122.3946028
A00376,46.93656037,-122.3814657
A00377,46.93648864,-122.3683285
A00378,46.9364154,-122.3551914
A00379,46.93634066,-122.3420544
A00380,46.93626441,-122.3289174
A00381,46.93618666,-122.3157805
A00382,46.93610739,-122.3026436
A00383,46.93602662,-122.2895068
A00384,46.93594434,-122.2763701
A00385,46.93586056,-122.2632334
A00386,46.93577527,-122.2500967
A00387,46.93568847,-122.2369601
A00388,46.93560016,-122.2238236
A00389,46.93551034,-122.2106872
A00390,46.93541902,-122.1975508
A00391,46.9353262,-122.1844145
A00392,46.93523186,-122.1712782
A00393,46.93513602,-122.158142
A00394,46.93503867,-122.1450059
A00395,46.93493981,-122.1318698
A00396,46.93483945,-122.1187338
A00397,46.93473758,-122.1055979
A00398,46.9346342,-122.0924621
A00399,46.93452932,-122.0793263
A00400,46.93442293,-122.0661906
A00401,46.93431503,-122.053055
A00402,46.93420563,-122.0399195
A00403,46.93409472,-122.026784
A00404,46.9339823,-122.0136486
A00405,46.93386837,-122.0005133
A00406,46.93375294,-121.9873781
A00407,46.93363601,-121.9742429
A00408,46.93351756,-121.9611079
A00409,46.93339761,-121.9479729
A00410,46.93327615,-121.934838
A00411,46.93315319,-121.9217032
A00412,46.93302872,-121.9085685
A00413,46.93290274,-121.8954338
A00414,46.93277525,-121.8822993
A00415,46.93264626,-121.8691648
A00416,46.93251576,-121.8560305
A00417,46.93238376,-121.8428962
A00418,46.93225025,-121.829762
A00419,46.93211523,-121.8166279
A00420,46.93197871,-121.8034939
